,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Andrew Luck,Andy Dalton,Mitchell Trubisky,Jameis Winston,Matthew Stafford,Drew Brees,Jared Goff,Aaron Rodgers,Ben Roethlisberger
WR1,Odell Beckham Jr.,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,A.J. Green,Robert Woods,Jarvis Landry,Brandin Cooks,Emmanuel Sanders,Tyreek Hill
WR2,Sammy Watkins,Adam Thielen,Mike Evans,Dede Westbrook,Michael Thomas,Antonio Brown,Tyler Boyd,JuJu Smith-Schuster,Doug Baldwin,Sterling Shepard
RB1,Chris Thompson,Mark Ingram,Saquon Barkley,Kerryon Johnson,James White,Todd Gurley II,David Johnson,Christian McCaffrey,Adrian Peterson,Kareem Hunt
RB2,Raheem Mostert,Alex Collins,James Conner,Marlon Mack,Phillip Lindsay,Joe Mixon,Chris Carson,Isaiah Crowell,Alvin Kamara,Kenyan Drake
TE,Rob Gronkowski,George Kittle,O.J. Howard,Travis Kelce,Zach Ertz,Eric Ebron,Jimmy Graham,Trey Burton,Benjamin Watson,C.J. Uzomah
W/R/T,Larry Fitzgerald,John Brown,Kenny Golladay,David Njoku,Alshon Jeffery,Lamar Miller,Will Fuller V,Julian Edelman,Golden Tate,Davante Adams
BN1,Greg Olsen,T.J. Yeldon,Jordan Howard,Jalen Richard,Calvin Ridley,Matt Ryan,Tom Brady,Kirk Cousins,Kenny Stills,Tarik Cohen
BN2,Ezekiel Elliott,Austin Ekeler,Josh Gordon,Latavius Murray,Russell Wilson,Devin Funchess,Nick Chubb,Kenjon Barner,Marvin Jones Jr.,Kyle Rudolph
BN3,Doug Martin,Carson Wentz,Jared Cook,DeSean Jackson,Geronimo Allison,Jordan Reed,Matt Breida,Michael Crabtree,Nelson Agholor,Philip Rivers
BN4,Melvin Gordon III,Allen Robinson II,Christian Kirk,Cam Newton,Amari Cooper,Sony Michel,LeSean McCoy,Tevin Coleman,Aaron Jones,Wendell Smallwood
BN5,Ronald Jones II,Tre'Quan Smith,Derek Carr,Keenan Allen,Danny Amendola,Elijah McGuire,Julio Jones,Cooper Kupp,Evan Engram,Dion Lewis
BN6,Chris Ivory,Carlos Hyde,Demaryius Thomas,Dallas,Martavis Bryant,Los Angeles,Jordy Nelson,Vance McDonald,Minnesota,Cleveland
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Matt Prater,Greg Zuerlein,Mason Crosby,Dan Bailey,Justin Tucker,Randy Bullock
DEF,Chicago,Baltimore,Houston,Washington,Los Angeles,Indianapolis,New England,Pittsburgh,Jacksonville,Philadelphia
