,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Andrew Luck,Andy Dalton,Cam Newton,Blake Bortles,Matt Ryan,Tom Brady,Kirk Cousins,Patrick Mahomes,Ben Roethlisberger
WR1,JuJu Smith-Schuster,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,Michael Thomas,Antonio Brown,Julio Jones,Odell Beckham Jr.,Marvin Jones Jr.,Tyreek Hill
WR2,Emmanuel Sanders,Adam Thielen,Mike Evans,Keenan Allen,A.J. Green,Robert Woods,Jarvis Landry,Brandin Cooks,Nelson Agholor,Davante Adams
RB1,Ezekiel Elliott,Alex Collins,Saquon Barkley,Marshawn Lynch,Latavius Murray,Todd Gurley II,David Johnson,Melvin Gordon III,Alvin Kamara,Kareem Hunt
RB2,Christian McCaffrey,T.J. Yeldon,Jordan Howard,Jamaal Williams,Corey Clement,Giovani Bernard,Matt Breida,Tevin Coleman,Derrick Henry,Kenyan Drake
TE,Evan Engram,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Jordan Reed,Jimmy Graham,Jesse James,Rob Gronkowski,Kyle Rudolph
W/R/T,Chris Thompson,Allen Robinson II,James Conner,DeSean Jackson,Quincy Enunwa,Lamar Miller,Will Fuller V,Cooper Kupp,Adrian Peterson,Rex Burkhead
BN1,Golden Tate,Austin Ekeler,O.J. Howard,Carlos Hyde,Russell Wilson,Tyler Lockett,Chris Carson,Will Dissly,Aaron Rodgers,Larry Fitzgerald
BN2,Amari Cooper,Royce Freeman,Kenny Golladay,Kerryon Johnson,Jay Ajayi,Joe Mixon,LeSean McCoy,Isaiah Crowell,Doug Baldwin,Dion Lewis
BN3,Julian Edelman,Leonard Fournette,Josh Gordon,Demaryius Thomas,James White,Bilal Powell,Drew Brees,Jordan Wilkins,Benjamin Watson,Philip Rivers
BN4,Keelan Cole,Mark Ingram,Derek Carr,Devonta Freeman,Geronimo Allison,Michael Crabtree,Devin Funchess,Sammy Watkins,Kenny Stills,Deshaun Watson
BN5,Javorius Allen,Jamison Crowder,,Chris Hogan,Phillip Lindsay,Eric Ebron,Aaron Jones,Chris Godwin,Matt Bryant,Ryan Fitzpatrick
BN6,Green Bay,Carson Wentz,,Matthew Stafford,Alshon Jeffery,Sony Michel,John Brown,,Jacksonville,Philadelphia
K,Sam Ficken,Harrison Butker,Robbie Gould,Stephen Gostkowski,Wil Lutz,Matt Prater,Mason Crosby,Dan Bailey,Justin Tucker,Adam Vinatieri
DEF,Chicago,Baltimore,Houston,New York,Los Angeles,Dallas,Miami,New England,Minnesota,Cleveland
