,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Andrew Luck,Andy Dalton,Joe Flacco,Russell Wilson,Matt Ryan,Drew Brees,Kirk Cousins,Patrick Mahomes,Philip Rivers
WR1,Odell Beckham Jr.,DeAndre Hopkins,Stefon Diggs,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,Brandin Cooks,Marvin Jones Jr.,Tyreek Hill
WR2,Sterling Shepard,Adam Thielen,Mike Evans,T.Y. Hilton,A.J. Green,Robert Woods,Jarvis Landry,JuJu Smith-Schuster,Nelson Agholor,Davante Adams
RB1,Ezekiel Elliott,Alex Collins,Saquon Barkley,Marshawn Lynch,James White,Todd Gurley II,David Johnson,Tevin Coleman,Alvin Kamara,Kenyan Drake
RB2,Melvin Gordon III,Leonard Fournette,Jordan Howard,Carlos Hyde,Phillip Lindsay,Giovani Bernard,Matt Breida,Jordan Wilkins,Derrick Henry,Chris Ivory
TE,Trey Burton,George Kittle,O.J. Howard,Travis Kelce,Zach Ertz,Eric Ebron,Jimmy Graham,Vance McDonald,Rob Gronkowski,Kyle Rudolph
W/R/T,Emmanuel Sanders,Allen Robinson II,James Conner,Mike Williams,Calvin Ridley,Lamar Miller,Will Fuller V,Sammy Watkins,Kenny Stills,Kareem Hunt
BN1,Golden Tate,T.J. Yeldon,Jared Cook,David Njoku,Jay Ajayi,Jordan Reed,Chris Carson,Jesse James,Adrian Peterson,Larry Fitzgerald
BN2,Evan Engram,Austin Ekeler,Kenny Golladay,Kerryon Johnson,Quincy Enunwa,Joe Mixon,Tom Brady,Cooper Kupp,Aaron Rodgers,Ben Roethlisberger
BN3,Chris Thompson,Royce Freeman,Josh Gordon,Demaryius Thomas,Latavius Murray,Bilal Powell,LeSean McCoy,Isaiah Crowell,Doug Baldwin,Dion Lewis
BN4,Amari Cooper,Mark Ingram,Derek Carr,Cam Newton,Geronimo Allison,Sony Michel,Aaron Jones,Chris Godwin,Benjamin Watson,Deshaun Watson
BN5,Javorius Allen,Carson Wentz,Christian Kirk,DeSean Jackson,Alshon Jeffery,Matthew Stafford,John Brown,Christian McCaffrey,Matt Bryant,Ryan Fitzpatrick
BN6,Chicago,Baltimore,Dallas Goedert,Devonta Freeman,Dalvin Cook,Devin Funchess,Tyler Boyd,Julian Edelman,Jacksonville,Philadelphia
K,Sam Ficken,Harrison Butker,Robbie Gould,Stephen Gostkowski,Wil Lutz,Matt Prater,Mason Crosby,Dan Bailey,Justin Tucker,Adam Vinatieri
DEF,Green Bay,Detroit,Houston,Tennessee,Los Angeles,Seattle,Los Angeles,New England,Minnesota,Cleveland
