,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Andrew Luck,Jameis Winston,Cam Newton,Russell Wilson,Deshaun Watson,Drew Brees,Jared Goff,Aaron Rodgers,Philip Rivers
WR1,Chris Conley,Adam Thielen,Mike Evans,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,D.J. Moore,Emmanuel Sanders,Davante Adams
WR2,Odell Beckham Jr.,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,A.J. Green,Robert Woods,Tyler Boyd,JuJu Smith-Schuster,Doug Baldwin,Tyreek Hill
RB1,Ezekiel Elliott,Austin Ekeler,James Conner,Gus Edwards,Phillip Lindsay,Joe Mixon,David Johnson,Christian McCaffrey,Alvin Kamara,Kenyan Drake
RB2,Spencer Ware,Mark Ingram,Saquon Barkley,T.J. Yeldon,Dalvin Cook,Todd Gurley II,Nick Chubb,Tevin Coleman,Aaron Jones,LeSean McCoy
TE,Rob Gronkowski,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Eric Ebron,Gerald Everett,Trey Burton,Evan Engram,Cameron Brate
W/R/T,Larry Fitzgerald,Kenny Golladay,Demaryius Thomas,Marlon Mack,Amari Cooper,Lamar Miller,Matt Breida,Brandin Cooks,Adrian Peterson,Christian Kirk
BN1,Doug Martin,Leonard Fournette,Josh Gordon,Curtis Samuel,James White,Sony Michel,Jimmy Graham,Vance McDonald,Golden Tate,Tarik Cohen
BN2,Sammy Watkins,Carson Wentz,Mitchell Trubisky,Jalen Richard,Alshon Jeffery,Jordan Reed,Tyler Lockett,Julian Edelman,Marvin Jones Jr.,Frank Gore
BN3,Theo Riddick,Duke Johnson Jr.,Jordan Howard,David Njoku,Josh Reynolds,Adam Humphries,Jarvis Landry,Nick Mullens,Benjamin Watson,Calvin Ridley
BN4,Kirk Cousins,Allen Robinson II,Austin Hooper,Justin Jackson,Josh Adams,Matt Ryan,Chris Carson,Isaiah Crowell,Nelson Agholor,Ben Roethlisberger
BN5,Chris Thompson,Kansas City,Corey Davis,Detroit,Rex Burkhead,Aldrick Rosas,Tom Brady,Cordarrelle Patterson,Jake Elliott,Cleveland
BN6,Mike Williams,Pittsburgh,,,Carlos Hyde,Los Angeles,Dion Lewis,Rashaad Penny,Jacksonville,
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Sebastian Janikowski,Greg Zuerlein,Matt Bryant,Dan Bailey,Justin Tucker,Adam Vinatieri
DEF,Chicago,Seattle,Houston,Denver,Los Angeles,Indianapolis,New Orleans,New England,Minnesota,Baltimore
