,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Kirk Cousins,Andrew Luck,Jameis Winston,Cam Newton,Russell Wilson,Matt Ryan,Drew Brees,Nick Mullens,Aaron Rodgers,Eli Manning
WR1,Odell Beckham Jr.,Adam Thielen,Mike Evans,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,Julian Edelman,Emmanuel Sanders,Davante Adams
WR2,Larry Fitzgerald,Kenny Golladay,Stefon Diggs,T.Y. Hilton,Alshon Jeffery,Adam Humphries,Tyler Boyd,D.J. Moore,Doug Baldwin,Calvin Ridley
RB1,Ezekiel Elliott,Leonard Fournette,James Conner,Gus Edwards,Phillip Lindsay,Joe Mixon,David Johnson,Christian McCaffrey,Alvin Kamara,Tarik Cohen
RB2,Melvin Gordon III,Mark Ingram,Saquon Barkley,Marlon Mack,Dalvin Cook,Sony Michel,Nick Chubb,Tevin Coleman,Aaron Jones,Frank Gore
TE,Rob Gronkowski,George Kittle,Jared Cook,Jeff Heuerman,Zach Ertz,Jordan Reed,Jack Doyle,Trey Burton,Evan Engram,Jesse James
W/R/T,Keke Coutee,DeAndre Hopkins,Josh Gordon,Bruce Ellington,James White,Lamar Miller,Matt Breida,Vance McDonald,Adrian Peterson,Sterling Shepard
BN1,Greg Olsen,Carson Wentz,Mitchell Trubisky,David Njoku,A.J. Green,Eric Ebron,Tyler Lockett,JuJu Smith-Schuster,Golden Tate,Kenyan Drake
BN2,Doug Martin,Duke Johnson Jr.,Demaryius Thomas,DeSean Jackson,Amari Cooper,Todd Gurley II,Chris Carson,Brandin Cooks,Marvin Jones Jr.,Philip Rivers
BN3,Patrick Mahomes,Allen Robinson II,Jordan Howard,Jalen Richard,Anthony Miller,Robert Woods,Jimmy Graham,Jared Goff,Benjamin Watson,Ben Roethlisberger
BN4,Sammy Watkins,Austin Ekeler,Austin Hooper,Travis Kelce,Josh Reynolds,Deshaun Watson,Jarvis Landry,Isaiah Crowell,Nelson Agholor,Kareem Hunt
BN5,Theo Riddick,Harrison Butker,Jason Myers,Malcolm Brown,Josh Adams,Greg Zuerlein,Tom Brady,Cordarrelle Patterson,Jake Elliott,Tyreek Hill
BN6,Peyton Barber,Kansas City,,Denver,Los Angeles,Indianapolis,LeSean McCoy,Rashaad Penny,Jacksonville,Cleveland
K,Wil Lutz,Michael Badgley,Ka'imi Fairbairn,Stephen Gostkowski,Robbie Gould,Aldrick Rosas,Matt Bryant,Dan Bailey,Justin Tucker,Adam Vinatieri
DEF,Chicago,Pittsburgh,Houston,Buffalo,Dallas,Los Angeles,Philadelphia,New England,Minnesota,Baltimore
