,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Andrew Luck,Baker Mayfield,Josh Allen,Russell Wilson,Deshaun Watson,Drew Brees,Jared Goff,Aaron Rodgers,Philip Rivers
WR1,Larry Fitzgerald,Adam Thielen,Mike Evans,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,D.J. Moore,Emmanuel Sanders,Davante Adams
WR2,Dante Pettis,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,Amari Cooper,Robert Woods,Jarvis Landry,JuJu Smith-Schuster,Doug Baldwin,Tyreek Hill
RB1,Melvin Gordon III,Mark Ingram,Saquon Barkley,Gus Edwards,Phillip Lindsay,Joe Mixon,David Johnson,Christian McCaffrey,Alvin Kamara,Kenyan Drake
RB2,Damien Williams,Leonard Fournette,Derrick Henry,Marlon Mack,Dalvin Cook,John Kelly,Nick Chubb,Tevin Coleman,Aaron Jones,Tarik Cohen
TE,Rob Gronkowski,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Eric Ebron,Gerald Everett,Trey Burton,Evan Engram,Jesse James
W/R/T,Ezekiel Elliott,Allen Robinson II,Jordan Howard,Robby Anderson,Jamaal Williams,Sony Michel,Chris Carson,Brandin Cooks,Adrian Peterson,Dede Westbrook
BN1,C.J. Anderson,Austin Ekeler,James Conner,Robert Foster,Jaylen Samuels,Todd Gurley II,Matt Breida,Vance McDonald,Golden Tate,Kenneth Dixon
BN2,Spencer Ware,Kenny Golladay,Mitchell Trubisky,DaeSean Hamilton,James White,Lamar Miller,Tyler Boyd,Julian Edelman,Marvin Jones Jr.,Chris Godwin
BN3,Doug Martin,Carson Wentz,Josh Gordon,Jeff Wilson Jr.,Alshon Jeffery,Jordan Reed,Jimmy Graham,Nick Mullens,Benjamin Watson,Ben Roethlisberger
BN4,Chris Conley,Duke Johnson Jr.,Kirk Cousins,Jalen Richard,Josh Reynolds,Matt Ryan,Tyler Lockett,Isaiah Crowell,Nelson Agholor,LeSean McCoy
BN5,Elijah McGuire,Buffalo,Demaryius Thomas,Alfred Blue,Curtis Samuel,Peyton Barber,Tom Brady,Cordarrelle Patterson,Jake Elliott,Calvin Ridley
BN6,Mike Williams,Pittsburgh,Austin Hooper,Detroit,Kalen Ballage,Miami,Dion Lewis,Rashaad Penny,Jacksonville,Cleveland
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Adam Vinatieri,Greg Zuerlein,Matt Bryant,Dan Bailey,Justin Tucker,Chris Boswell
DEF,Chicago,Seattle,Houston,Denver,Los Angeles,Indianapolis,New Orleans,New England,Minnesota,Baltimore
