,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Carson Wentz,Mitchell Trubisky,Cam Newton,Russell Wilson,Matt Ryan,Drew Brees,Jared Goff,Aaron Rodgers,Philip Rivers
WR1,Odell Beckham Jr.,DeAndre Hopkins,Mike Evans,Keenan Allen,Michael Thomas,Robert Woods,Julio Jones,JuJu Smith-Schuster,Golden Tate,Tyreek Hill
WR2,Larry Fitzgerald,Adam Thielen,Stefon Diggs,T.Y. Hilton,Alshon Jeffery,Antonio Brown,Tyler Boyd,Brandin Cooks,Emmanuel Sanders,Davante Adams
RB1,Ezekiel Elliott,Leonard Fournette,James Conner,Marlon Mack,Phillip Lindsay,Todd Gurley II,David Johnson,Christian McCaffrey,Alvin Kamara,Kareem Hunt
RB2,Melvin Gordon III,Mark Ingram,Saquon Barkley,Kerryon Johnson,Dalvin Cook,Joe Mixon,Chris Carson,Tevin Coleman,Aaron Jones,Tarik Cohen
TE,Greg Olsen,Kyle Rudolph,O.J. Howard,Travis Kelce,Zach Ertz,Eric Ebron,Jack Doyle,Trey Burton,Evan Engram,Ricky Seals-Jones
W/R/T,Doug Martin,Kenny Golladay,Demaryius Thomas,Corey Davis,Amari Cooper,Lamar Miller,Tyler Lockett,Vance McDonald,Adrian Peterson,Sterling Shepard
BN1,Sammy Watkins,George Kittle,Jordan Howard,DeSean Jackson,Mike Davis,Devin Funchess,Jimmy Graham,Julian Edelman,Marvin Jones Jr.,Calvin Ridley
BN2,Marquez Valdes-Scantling,Duke Johnson Jr.,Andy Dalton,Jeff Heuerman,James White,Jordan Reed,Jarvis Landry,Isaiah Crowell,Benjamin Watson,Kenyan Drake
BN3,Rob Gronkowski,Allen Robinson II,Josh Gordon,Jalen Richard,Anthony Miller,Sony Michel,Nick Chubb,Cordarrelle Patterson,Doug Baldwin,Ben Roethlisberger
BN4,Spencer Ware,Alex Collins,Jared Cook,Malcolm Brown,Josh Reynolds,Deshaun Watson,Matt Breida,Rashaad Penny,Nelson Agholor,Dion Lewis
BN5,Nick Mullens,Andrew Luck,Jason Myers,David Njoku,Josh Adams,Tre'Quan Smith,Tom Brady,Jaylen Samuels,Jake Elliott,Cleveland
BN6,Denver,Austin Ekeler,San Francisco,Stephen Gostkowski,Los Angeles,Indianapolis,LeSean McCoy,Baltimore,Jacksonville,
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Ryan Succop,Chris Boswell,Greg Zuerlein,Mason Crosby,Dan Bailey,Justin Tucker,Graham Gano
DEF,Chicago,Arizona,Houston,Pittsburgh,Carolina,Los Angeles,Washington,New England,Minnesota,Tampa Bay
