,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Andrew Luck,Andy Dalton,Cam Newton,Jameis Winston,Matt Ryan,Tom Brady,Kirk Cousins,Patrick Mahomes,Ben Roethlisberger
WR1,Odell Beckham Jr.,DeAndre Hopkins,Stefon Diggs,Keenan Allen,A.J. Green,Antonio Brown,Julio Jones,JuJu Smith-Schuster,Nelson Agholor,Tyreek Hill
WR2,Emmanuel Sanders,Adam Thielen,Mike Evans,Chester Rogers,Calvin Ridley,Robert Woods,Jarvis Landry,Julian Edelman,Doug Baldwin,Davante Adams
RB1,Ezekiel Elliott,T.J. Yeldon,Saquon Barkley,Marshawn Lynch,James White,Todd Gurley II,David Johnson,Christian McCaffrey,Derrick Henry,Wendell Smallwood
RB2,Melvin Gordon III,Alex Collins,James Conner,Carlos Hyde,Phillip Lindsay,Joe Mixon,Chris Carson,Tevin Coleman,Adrian Peterson,Kareem Hunt
TE,C.J. Uzomah,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Eric Ebron,Jimmy Graham,Cameron Brate,Rob Gronkowski,Kyle Rudolph
W/R/T,Tyler Lockett,Allen Robinson II,Josh Gordon,DeSean Jackson,Mohamed Sanu,Sony Michel,Tyler Boyd,Cooper Kupp,Kenny Stills,Sterling Shepard
BN1,Chris Thompson,Corey Davis,Christian Kirk,Keke Coutee,Russell Wilson,Jordan Reed,Aaron Jones,Vance McDonald,Marvin Jones Jr.,Tarik Cohen
BN2,Golden Tate,Carson Wentz,Derek Carr,Devonta Freeman,Nyheim Hines,Lamar Miller,Will Fuller V,Isaiah Crowell,Alvin Kamara,Dion Lewis
BN3,Amari Cooper,Mark Ingram,Kenny Golladay,David Njoku,Michael Thomas,Bilal Powell,Matt Breida,Brandin Cooks,Aaron Rodgers,Kenyan Drake
BN4,Javorius Allen,Austin Ekeler,Jordan Howard,Kerryon Johnson,Alshon Jeffery,Matthew Stafford,Drew Brees,Sammy Watkins,Benjamin Watson,Philip Rivers
BN5,Greg Olsen,Royce Freeman,Demaryius Thomas,Alfred Morris,Dalvin Cook,Devin Funchess,LeSean McCoy,Trey Burton,Matt Bryant,Deshaun Watson
BN6,Corey Clement,Jordy Nelson,,Ronald Jones II,Geronimo Allison,Greg Zuerlein,John Brown,Kyle Juszczyk,Minnesota,Cleveland
K,Cairo Santos,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Cody Parkey,Ryan Succop,Mason Crosby,Dan Bailey,Justin Tucker,Randy Bullock
DEF,Chicago,Baltimore,Houston,Seattle,Los Angeles,Green Bay,Carolina,Tennessee,Jacksonville,Philadelphia
