,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Carson Wentz,Andy Dalton,Cam Newton,Jameis Winston,Matt Ryan,Tom Brady,Kirk Cousins,Patrick Mahomes,Philip Rivers
WR1,Emmanuel Sanders,DeAndre Hopkins,Stefon Diggs,Keenan Allen,A.J. Green,Robert Woods,Julio Jones,Julian Edelman,Nelson Agholor,Tyreek Hill
WR2,Golden Tate,Adam Thielen,Mike Evans,DeSean Jackson,Michael Thomas,Devin Funchess,Jarvis Landry,Brandin Cooks,Marvin Jones Jr.,Sterling Shepard
RB1,Ezekiel Elliott,T.J. Yeldon,Saquon Barkley,Kerryon Johnson,James White,Todd Gurley II,David Johnson,Christian McCaffrey,Derrick Henry,Kareem Hunt
RB2,Corey Clement,Austin Ekeler,Jordan Howard,Latavius Murray,Phillip Lindsay,Joe Mixon,Nick Chubb,Tevin Coleman,Adrian Peterson,Kenyan Drake
TE,Evan Engram,George Kittle,O.J. Howard,Travis Kelce,Zach Ertz,Eric Ebron,Austin Hooper,Trey Burton,Benjamin Watson,Kyle Rudolph
W/R/T,Odell Beckham Jr.,Mark Ingram,Kenny Golladay,David Njoku,Alshon Jeffery,Sony Michel,Tyler Boyd,Michael Crabtree,Kenny Stills,Tarik Cohen
BN1,Chris Thompson,Alex Collins,Josh Gordon,T.Y. Hilton,Mohamed Sanu,Antonio Brown,Matt Breida,Sammy Watkins,Doug Baldwin,Ben Roethlisberger
BN2,Greg Olsen,Allen Robinson II,Jared Cook,Marlon Mack,Calvin Ridley,Jordan Reed,LeSean McCoy,Cooper Kupp,Rob Gronkowski,Wendell Smallwood
BN3,Peyton Barber,Andrew Luck,James Conner,Marquise Goodwin,Russell Wilson,Lamar Miller,Drew Brees,JuJu Smith-Schuster,Alvin Kamara,Davante Adams
BN4,Doug Martin,Royce Freeman,Christian Kirk,Jalen Richard,Dalvin Cook,Bilal Powell,Jimmy Graham,Vance McDonald,Aaron Rodgers,Dion Lewis
BN5,Aaron Jones,Leonard Fournette,Derek Carr,Rashaad Penny,Geronimo Allison,Matthew Stafford,Will Fuller V,Isaiah Crowell,Matt Bryant,Deshaun Watson
BN6,Raheem Mostert,Tre'Quan Smith,Demaryius Thomas,,Taylor Gabriel,Los Angeles,Ito Smith,Albert Wilson,Minnesota,Philadelphia
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Adam Vinatieri,Greg Zuerlein,Stephen Hauschka,Dan Bailey,Justin Tucker,Randy Bullock
DEF,Chicago,Baltimore,Houston,Denver,Los Angeles,Indianapolis,Arizona,Buffalo,Jacksonville,Cleveland
