,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Carson Wentz,Derek Carr,Cam Newton,Blake Bortles,Matt Ryan,Tom Brady,Kirk Cousins,Patrick Mahomes,Ben Roethlisberger
WR1,Odell Beckham Jr.,DeAndre Hopkins,Stefon Diggs,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,Brandin Cooks,Marvin Jones Jr.,Tyreek Hill
WR2,Golden Tate,Adam Thielen,Kenny Golladay,Keelan Cole,A.J. Green,Robert Woods,Jarvis Landry,JuJu Smith-Schuster,Nelson Agholor,Davante Adams
RB1,Ezekiel Elliott,T.J. Yeldon,Saquon Barkley,Marshawn Lynch,James White,Todd Gurley II,David Johnson,Tevin Coleman,Alvin Kamara,Kenyan Drake
RB2,Melvin Gordon III,Mark Ingram,James Conner,Carlos Hyde,Phillip Lindsay,Joe Mixon,Aaron Jones,Christian McCaffrey,Derrick Henry,Dion Lewis
TE,C.J. Uzomah,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Jordan Reed,Jimmy Graham,Vance McDonald,Rob Gronkowski,Kyle Rudolph
W/R/T,Chris Thompson,Corey Davis,Christian Kirk,Devonta Freeman,Calvin Ridley,Sony Michel,Tyler Boyd,Cooper Kupp,Kenny Stills,Kareem Hunt
BN1,Emmanuel Sanders,Allen Robinson II,Andy Dalton,Keke Coutee,Russell Wilson,Eric Ebron,Will Fuller V,Jordan Wilkins,Adrian Peterson,Philip Rivers
BN2,Evan Engram,Alex Collins,Josh Gordon,Mike Williams,Quincy Enunwa,Lamar Miller,Matt Breida,Sammy Watkins,Aaron Rodgers,Chris Ivory
BN3,Amari Cooper,Andrew Luck,Jordan Howard,David Njoku,Alshon Jeffery,Bilal Powell,Drew Brees,Isaiah Crowell,Doug Baldwin,Larry Fitzgerald
BN4,Javorius Allen,Austin Ekeler,Mike Evans,Kerryon Johnson,Dalvin Cook,Matthew Stafford,Chris Carson,Chris Godwin,Benjamin Watson,Deshaun Watson
BN5,Dede Westbrook,Royce Freeman,Dallas Goedert,DeSean Jackson,Nyheim Hines,Devin Funchess,LeSean McCoy,Julian Edelman,Matt Bryant,Tarik Cohen
BN6,Chicago,Ty Montgomery,,Robert Turbin,,Alfred Blue,John Brown,Trey Burton,Jacksonville,Cleveland
K,Cairo Santos,Harrison Butker,Robbie Gould,Stephen Gostkowski,Wil Lutz,Matt Prater,Mason Crosby,Dan Bailey,Justin Tucker,Randy Bullock
DEF,Denver,Baltimore,Houston,Tennessee,Los Angeles,Cincinnati,Carolina,New England,Minnesota,Philadelphia
