,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Andrew Luck,Jameis Winston,Josh Allen,Russell Wilson,Deshaun Watson,Drew Brees,Jared Goff,Aaron Rodgers,Ben Roethlisberger
WR1,Dante Pettis,Adam Thielen,Mike Evans,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,D.J. Moore,Emmanuel Sanders,Davante Adams
WR2,Sterling Shepard,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,Amari Cooper,Robert Woods,Jarvis Landry,JuJu Smith-Schuster,Doug Baldwin,Chris Godwin
RB1,Ezekiel Elliott,Mark Ingram,Saquon Barkley,Gus Edwards,Phillip Lindsay,Joe Mixon,David Johnson,Christian McCaffrey,Alvin Kamara,Tarik Cohen
RB2,Spencer Ware,Leonard Fournette,Jordan Howard,Jeff Wilson Jr.,Dalvin Cook,Todd Gurley II,Nick Chubb,Tevin Coleman,Aaron Jones,Kenyan Drake
TE,Rob Gronkowski,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Eric Ebron,Gerald Everett,Trey Burton,Evan Engram,Jesse James
W/R/T,Larry Fitzgerald,Austin Ekeler,Josh Gordon,Justin Jackson,Jaylen Samuels,Sony Michel,Chris Carson,Brandin Cooks,Adrian Peterson,LeGarrette Blount
BN1,Doug Martin,Kenny Golladay,Demaryius Thomas,Cam Newton,James White,Lamar Miller,Matt Breida,Vance McDonald,Golden Tate,LeSean McCoy
BN2,Theo Riddick,Carson Wentz,Mitchell Trubisky,Marlon Mack,Alshon Jeffery,Jordan Reed,Tyler Boyd,Julian Edelman,Marvin Jones Jr.,Tyreek Hill
BN3,Melvin Gordon III,Duke Johnson Jr.,Austin Hooper,Jalen Richard,Josh Reynolds,Adam Humphries,Jimmy Graham,Nick Mullens,Benjamin Watson,Philip Rivers
BN4,Stevan Ridley,Allen Robinson II,Corey Davis,DaeSean Hamilton,Josh Adams,Matt Ryan,Tyler Lockett,Isaiah Crowell,Nelson Agholor,Calvin Ridley
BN5,Chris Conley,Pittsburgh,Peyton Barber,Detroit,Zay Jones,Aldrick Rosas,Tom Brady,Cordarrelle Patterson,Jake Elliott,Dede Westbrook
BN6,,Seattle,,Kansas City,,Indianapolis,Dion Lewis,Rashaad Penny,Jacksonville,Cleveland
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Michael Badgley,Greg Zuerlein,Matt Bryant,Dan Bailey,Justin Tucker,Chris Boswell
DEF,Chicago,Buffalo,Houston,Denver,Los Angeles,Los Angeles,New Orleans,New England,Minnesota,Baltimore
