,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Jared Goff,Andrew Luck,Marcus Mariota,Cam Newton,Russell Wilson,Matt Ryan,Drew Brees,Kirk Cousins,Aaron Rodgers,Philip Rivers
WR1,JuJu Smith-Schuster,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,Michael Thomas,Antonio Brown,Julio Jones,Odell Beckham Jr.,Doug Baldwin,Tyreek Hill
WR2,Amari Cooper,Adam Thielen,Mike Evans,Keenan Allen,A.J. Green,Robby Anderson,Jarvis Landry,Brandin Cooks,Marvin Jones Jr.,Davante Adams
RB1,Ezekiel Elliott,Leonard Fournette,Saquon Barkley,Devonta Freeman,Dalvin Cook,Todd Gurley II,David Johnson,Melvin Gordon III,Alvin Kamara,Kareem Hunt
RB2,Christian McCaffrey,Alex Collins,Jordan Howard,Jamaal Williams,Jay Ajayi,Joe Mixon,LeSean McCoy,Jordan Wilkins,Derrick Henry,Kenyan Drake
TE,Greg Olsen,Tyler Eifert,O.J. Howard,Travis Kelce,Zach Ertz,Jordan Reed,Jimmy Graham,David Njoku,Rob Gronkowski,Kyle Rudolph
W/R/T,Golden Tate,Royce Freeman,James Conner,Chris Hogan,Robert Woods,Lamar Miller,Chris Carson,Cooper Kupp,Adrian Peterson,Larry Fitzgerald
BN1,Emmanuel Sanders,Allen Robinson II,Josh Gordon,Marshawn Lynch,Alshon Jeffery,Michael Crabtree,Tom Brady,Tevin Coleman,Patrick Mahomes,Deshaun Watson
BN2,Chris Thompson,Jack Doyle,Mike Williams,Demaryius Thomas,Alex Smith,Bilal Powell,Devin Funchess,Le'Veon Bell,Benjamin Watson,Ben Roethlisberger
BN3,Julian Edelman,George Kittle,Blake Bortles,Matthew Stafford,James White,Eric Ebron,Marquise Goodwin,Jimmy Garoppolo,Nelson Agholor,Carson Wentz
BN4,Peyton Barber,Mark Ingram,Jared Cook,Carlos Hyde,Alfred Morris,Pierre Garcon,Tarik Cohen,Cameron Brate,Kenny Stills,Dion Lewis
BN5,Kerryon Johnson,Jamison Crowder,Andy Dalton,Delanie Walker,Geronimo Allison,Sony Michel,Aaron Jones,Sammy Watkins,Matt Bryant,Rex Burkhead
BN6,Evan Engram,Dak Prescott,Corey Davis,Rashaad Penny,,Jaylen Samuels,Matt Breida,New England,Minnesota,Trey Burton
K,Greg Zuerlein,Harrison Butker,Robbie Gould,Stephen Gostkowski,Wil Lutz,Matt Prater,Chris Boswell,Jake Elliott,Justin Tucker,Adam Vinatieri
DEF,Denver,Baltimore,New Orleans,Detroit,Los Angeles,Carolina,Pittsburgh,Los Angeles,Jacksonville,Philadelphia
