,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Andrew Luck,Kirk Cousins,Nick Foles,Russell Wilson,Deshaun Watson,Drew Brees,Jared Goff,Aaron Rodgers,Philip Rivers
WR1,Larry Fitzgerald,Adam Thielen,Mike Evans,Keenan Allen,Michael Thomas,Antonio Brown,Julio Jones,D.J. Moore,Emmanuel Sanders,Davante Adams
WR2,Sterling Shepard,DeAndre Hopkins,Stefon Diggs,T.Y. Hilton,Amari Cooper,Robert Woods,Jarvis Landry,JuJu Smith-Schuster,Doug Baldwin,Tyreek Hill
RB1,Ezekiel Elliott,Mark Ingram,Saquon Barkley,Gus Edwards,Phillip Lindsay,Joe Mixon,David Johnson,Christian McCaffrey,Alvin Kamara,Kenyan Drake
RB2,Damien Williams,Leonard Fournette,Derrick Henry,Marlon Mack,Dalvin Cook,Todd Gurley II,Nick Chubb,Tevin Coleman,Aaron Jones,Tarik Cohen
TE,Rob Gronkowski,George Kittle,Jared Cook,Travis Kelce,Zach Ertz,Eric Ebron,Gerald Everett,Trey Burton,Evan Engram,Jesse James
W/R/T,Doug Martin,Allen Robinson II,Josh Gordon,DaeSean Hamilton,Jaylen Samuels,Lamar Miller,Chris Carson,Brandin Cooks,Adrian Peterson,Dede Westbrook
BN1,Odell Beckham Jr.,Austin Ekeler,Mitchell Trubisky,Jeff Wilson Jr.,James White,Sony Michel,Matt Breida,Vance McDonald,Golden Tate,Kenneth Dixon
BN2,Spencer Ware,Kenny Golladay,Jordan Howard,Josh Allen,Alshon Jeffery,Jordan Reed,Tyler Boyd,Julian Edelman,Marvin Jones Jr.,Chris Godwin
BN3,Dante Pettis,Carson Wentz,Demaryius Thomas,Cam Newton,Josh Reynolds,Adam Humphries,Jimmy Graham,Nick Mullens,Benjamin Watson,Ben Roethlisberger
BN4,Theo Riddick,Duke Johnson Jr.,Austin Hooper,Kerryon Johnson,Josh Adams,Matt Ryan,Tyler Lockett,Isaiah Crowell,Nelson Agholor,LeSean McCoy
BN5,Chris Conley,Buffalo,Corey Davis,Jalen Richard,Zay Jones,Aldrick Rosas,Tom Brady,Cordarrelle Patterson,Jake Elliott,Calvin Ridley
BN6,Elijah McGuire,Pittsburgh,James Conner,Denver,Curtis Samuel,Indianapolis,Dion Lewis,Rashaad Penny,Jacksonville,Cleveland
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Michael Badgley,Greg Zuerlein,Matt Bryant,Dan Bailey,Justin Tucker,Chris Boswell
DEF,Chicago,Seattle,Houston,Detroit,Los Angeles,Washington,New Orleans,New England,Minnesota,Baltimore
