,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,Patrick Mahomes,Matthew Stafford,Derek Carr,Cam Newton,Russell Wilson,Matt Ryan,Tom Brady,Jared Goff,Aaron Rodgers,Ben Roethlisberger
WR1,Sammy Watkins,DeAndre Hopkins,Mike Evans,Keenan Allen,Michael Thomas,Robert Woods,Jarvis Landry,Brandin Cooks,Emmanuel Sanders,Tyreek Hill
WR2,Chris Godwin,Adam Thielen,Josh Gordon,Marquise Goodwin,D.J. Moore,Antonio Brown,Julio Jones,Julian Edelman,Marvin Jones Jr.,Davante Adams
RB1,Ezekiel Elliott,Mark Ingram,James Conner,Kerryon Johnson,James White,Todd Gurley II,Chris Carson,Christian McCaffrey,Adrian Peterson,Kareem Hunt
RB2,Melvin Gordon III,Alex Collins,Jordan Howard,Latavius Murray,Phillip Lindsay,Lamar Miller,Nick Chubb,Isaiah Crowell,Alvin Kamara,Kenyan Drake
TE,Greg Olsen,George Kittle,O.J. Howard,Travis Kelce,Austin Hooper,Jordan Reed,Jimmy Graham,Trey Burton,Benjamin Watson,Kyle Rudolph
W/R/T,Marquez Valdes-Scantling,John Brown,Kenny Golladay,David Njoku,Amari Cooper,Devin Funchess,Matt Breida,Cooper Kupp,Aaron Jones,Tarik Cohen
BN1,Rob Gronkowski,Leonard Fournette,Stefon Diggs,DeSean Jackson,Zach Ertz,Sony Michel,Tyler Lockett,JuJu Smith-Schuster,Doug Baldwin,Philip Rivers
BN2,Larry Fitzgerald,Andrew Luck,Saquon Barkley,Marlon Mack,Alshon Jeffery,Eric Ebron,Drew Brees,Kirk Cousins,Golden Tate,Sterling Shepard
BN3,Odell Beckham Jr.,T.J. Yeldon,Andy Dalton,T.Y. Hilton,Danny Amendola,Joe Mixon,Tyler Boyd,Kenjon Barner,Kenny Stills,Dion Lewis
BN4,Doug Martin,Austin Ekeler,Jared Cook,Jalen Richard,Dalvin Cook,Elijah McGuire,David Johnson,Michael Crabtree,Nelson Agholor,Calvin Ridley
BN5,C.J. Uzomah,Carson Wentz,Christian Kirk,Josh Adams,Los Angeles,Deshaun Watson,LeSean McCoy,Tevin Coleman,Evan Engram,Philadelphia
BN6,Washington,Courtland Sutton,Demaryius Thomas,,,Indianapolis,Jack Doyle,Vance McDonald,Jacksonville,Cleveland
K,Wil Lutz,Harrison Butker,Ka'imi Fairbairn,Stephen Gostkowski,Matt Prater,Greg Zuerlein,Mason Crosby,Dan Bailey,Justin Tucker,Graham Gano
DEF,Chicago,Baltimore,Houston,Dallas,Kansas City,Los Angeles,Miami,Pittsburgh,Minnesota,Carolina
