,hector,Michael,Nelson L.,Emil,Jay,Jonathan C,Kelvin Chan,Gordon,Tyler,Matthew
QB,24.78,27.56,23.22,18.34,8.98,20.18,15.94,-0.3,24.24,23.28
WR1,12.4,10.3,10.6,16.3,15.3,6.0,26.6,9.2,0.0,17.6
WR2,8.7,11.6,10.1,24.4,44.7,9.6,22.6,29.0,0.0,1.8
RB1,25.2,11.8,27.7,6.7,13.1,22.3,10.1,25.1,13.2,10.9
RB2,15.4,5.1,10.8,10.1,16.8,7.3,16.3,4.6,18.1,14.4
TE,20.7,30.5,15.1,17.2,6.3,14.5,4.9,3.2,9.2,3.8
W/R/T,8.0,16.4,12.1,4.5,12.7,5.7,15.0,3.7,2.4,4.1
BN1,9.2,1.5,6.8,10.9,3.8,13.7,0.0,5.7,1.2,0.1
BN2,7.8,24.82,6.7,9.3,14.0,0.0,6.7,19.1,0.0,18.5
BN3,0.0,-0.6,5.7,3.4,5.1,6.2,2.3,22.28,3.9,15.5
BN4,6.4,6.7,3.1,14.2,3.6,26.48,8.4,1.2,5.9,1.5
BN5,2.3,6.0,4.9,18.0,3.7,10.0,32.62,12.1,5.0,18.3
BN6,,16.0,,4.0,,5.0,7.7,4.4,4.0,4.0
K,8.0,9.0,3.0,9.0,17.0,8.0,2.0,1.0,6.0,3.0
DEF,20.0,4.0,4.0,6.0,11.0,3.0,9.0,6.0,5.0,5.0
